Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,-0.253455155
FDW14,OUT017,-0.557086544
NCN55,OUT010,-0.281580255
FDQ58,OUT017,0.20086938
FDY38,OUT027,2.020806209
FDH56,OUT046,-0.177627896
FDL48,OUT018,-0.913201705
FDC48,OUT027,-0.174870001
FDN33,OUT045,-0.419414915
FDA36,OUT017,0.580357569
FDT44,OUT017,-0.183491083
FDQ56,OUT045,-0.492527739
NCC54,OUT019,-0.888027003
FDU11,OUT049,-0.171571333
DRL59,OUT013,-0.821974527
FDM24,OUT049,0.049715031
FDI57,OUT045,0.644447376
DRC12,OUT018,0.227543978
NCM42,OUT027,0.321933565
FDA46,OUT010,-0.509901113
FDA31,OUT013,0.377374851
NCJ31,OUT035,0.68022388
FDG52,OUT046,-0.836963587
NCL19,OUT019,-1.089879272
FDS10,OUT035,0.395761597
FDX22,OUT010,-0.496089805
NCF19,OUT035,-0.847897605
NCE06,OUT046,0.219845413
DRC27,OUT046,0.985265395
FDE21,OUT035,-0.213118914
NCR42,OUT019,-1.250351408
FDX51,OUT018,0.176364985
NCR06,OUT018,-1.035059064
FDU31,OUT027,2.052348234
FDU59,OUT017,0.261817308
FDR03,OUT027,1.910412948
FDS49,OUT027,-0.070131356
FDD48,OUT010,-0.834534311
NCF18,OUT017,0.547152488
NCD43,OUT027,0.190328725
NCD54,OUT018,-0.149955849
FDY19,OUT010,-0.815515585
NCY54,OUT017,0.306102553
NCL19,OUT018,-0.128896633
FDP23,OUT010,-0.376358844
FDC26,OUT013,-0.23696546
FDR14,OUT010,-1.1013648
NCS41,OUT035,0.424908009
FDF41,OUT035,0.916111817
FDU34,OUT046,-0.127441278
DRH11,OUT046,-0.751082776
FDM03,OUT013,-0.289663996
FDS31,OUT017,0.363810265
FDJ20,OUT017,-0.203924991
FDV44,OUT027,1.70820571
FDG02,OUT049,0.682380083
FDA09,OUT013,0.461113412
FDT04,OUT013,-0.916286933
FDL58,OUT019,-0.861742068
FDE52,OUT045,-0.522288307
FDW12,OUT035,0.123893478
FDL51,OUT017,0.742984543
NCY42,OUT027,0.838006555
FDR07,OUT017,-0.398914494
FDN40,OUT045,0.14041698
FDB35,OUT027,0.101669079
FDA22,OUT017,0.272649774
NCL06,OUT046,1.099557053
FDI35,OUT013,0.462430675
NCW42,OUT045,0.893692485
NCX06,OUT049,0.562986922
FDC37,OUT027,0.305246675
